    51/299     9.97G    0.0306  0.007249         0   0.03785         9       320    0.8072    0.6722    0.7594    0.4153   0.05185  0.009425         0
    52/299     9.97G   0.03108  0.006895         0   0.03798         8       320    0.7878    0.6953    0.7856    0.4556   0.04737  0.009273         0
    53/299     9.97G   0.03056  0.007108         0   0.03767        12       320    0.8135    0.6711    0.7603    0.4394   0.04707  0.009417         0
    54/299     9.97G   0.03153  0.007449         0   0.03898        37       320     0.799    0.6645    0.7584    0.4433    0.0466  0.009625         0
    55/299     9.97G   0.03042  0.006859         0   0.03728        20       320    0.8072    0.6455    0.7371    0.4054   0.04874  0.009892         0
    56/299     9.97G   0.02998   0.00668         0   0.03666        23       320     0.799    0.6117    0.6821    0.3878    0.0508   0.01102         0
    57/299     9.97G   0.03026  0.007151         0   0.03741        29       320    0.7172    0.7726    0.7913    0.4639    0.0454  0.009429         0
    58/299     9.97G   0.03118  0.008026         0   0.03921        27       320    0.7271    0.6421    0.7369    0.4134   0.04962  0.009528         0
    59/299     9.97G    0.0302  0.007221         0   0.03742        14       320    0.8158     0.699     0.776    0.4714    0.0465  0.009154         0
    60/299     9.97G   0.03052   0.00765         0   0.03817        23       320    0.7931    0.6823     0.796    0.4765   0.04514   0.00914         0
    61/299     9.97G    0.0305  0.007018         0   0.03752        26       320    0.7736    0.6855    0.7674    0.4597   0.04812   0.00924         0
    62/299     9.97G   0.03159  0.007235         0   0.03883        27       320    0.7063    0.7157    0.7484    0.4373   0.04967  0.009515         0
    63/299     9.97G   0.03134  0.007307         0   0.03864        29       320    0.6776    0.6186    0.6581    0.3725   0.05195   0.01004         0
    64/299     9.97G   0.03742  0.007301         0   0.04472        21       320    0.6152     0.401     0.457    0.2001   0.06788   0.01143         0
    65/299     9.97G   0.03612  0.007586         0   0.04371        16       320     0.657    0.5445    0.5856    0.3133   0.05741     0.011         0
    66/299     9.97G   0.03314  0.007626         0   0.04077        23       320    0.7298    0.6689    0.7082    0.3989   0.04891  0.009805         0
    67/299     9.97G   0.03431   0.00863         0   0.04294        70       320    0.6928    0.6185    0.6722    0.3724   0.05329   0.01022         0
    68/299     9.97G   0.03258  0.007412         0   0.03999        31       320    0.7282     0.592    0.6829    0.3965   0.05221   0.00956         0
    69/299     9.97G   0.03154  0.007477         0   0.03902        45       320    0.7645    0.7055    0.7622    0.4255   0.04839  0.009483         0
    70/299     9.97G   0.03182  0.007558         0   0.03938        15       320    0.8418    0.6587    0.7898     0.461   0.04584  0.009328         0
    71/299     9.97G   0.03289   0.00725         0   0.04014        15       320    0.7971    0.6589     0.763    0.4437   0.04676  0.009586         0
    72/299     9.97G   0.03157  0.007064         0   0.03863        15       320    0.7654     0.699    0.7458    0.4139   0.04815  0.009618         0
    73/299     9.97G   0.03114  0.007207         0   0.03835         7       320    0.7596    0.6551     0.738     0.418   0.04888  0.009617         0
    74/299     9.97G   0.03131  0.006946         0   0.03825        25       320    0.7509     0.615    0.7148    0.4056   0.04669   0.01059         0
    75/299     9.97G   0.03125  0.007143         0    0.0384        21       320    0.7596    0.6689    0.7321    0.4134   0.04609   0.01014         0
    76/299     9.97G   0.03325  0.007438         0   0.04069        16       320    0.7923    0.6254    0.7385    0.4351   0.04555    0.0099         0
    77/299     9.97G   0.03053  0.007225         0   0.03775         6       320    0.8014    0.7023     0.778    0.4671   0.04368  0.009551         0
    78/299     9.97G   0.03212  0.006792         0   0.03891        26       320     0.865    0.5784    0.7274    0.4054   0.04775  0.009754         0
    79/299     9.97G   0.03062  0.006887         0   0.03751        13       320    0.7488    0.6689     0.742    0.4119   0.04896  0.009601         0
    80/299     9.97G   0.03121  0.007286         0   0.03849        24       320    0.7237    0.6756    0.7065    0.3911   0.04628    0.0102         0
    81/299     9.97G   0.03028  0.007058         0   0.03734        29       320    0.6939    0.7291    0.7626    0.4345   0.04587  0.009788         0
    82/299     9.97G   0.03104  0.007271         0   0.03831        20       320    0.7181    0.7155    0.7443    0.4344   0.04424  0.009773         0
    83/299     9.97G   0.03124  0.007884         0   0.03912        47       320    0.8093    0.5818    0.7049    0.3646   0.04832   0.01024         0
    84/299     9.97G   0.03136  0.007195         0   0.03856        10       320    0.8421    0.6419    0.7743    0.4709   0.04283  0.009596         0
    85/299     9.97G   0.03053  0.007045         0   0.03758        11       320    0.6893    0.6454    0.6837    0.3795   0.04848   0.01045         0
    86/299     9.97G   0.03136  0.007021         0   0.03838        26       320    0.7741    0.6989    0.7611    0.4408   0.04483   0.01007         0
    87/299     9.97G   0.02938  0.007519         0    0.0369        33       320    0.7233    0.6923    0.7464    0.4331   0.04494   0.01008         0
    88/299     9.97G   0.03243  0.006853         0   0.03928        27       320    0.7889    0.6388    0.7384    0.4327    0.0455    0.0099         0
    89/299     9.97G   0.02889  0.007135         0   0.03602        23       320    0.8523    0.6388    0.7911    0.4619   0.04234  0.009617         0
